Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
bregman-arie,devops-exercises,21200,https://github.com/bregman-arie/devops-exercises,12,5,4400,Azure
ramitsurana,awesome-kubernetes,12500,https://github.com/ramitsurana/awesome-kubernetes,3,0,200,Azure
microsoft,recommenders,12300,https://github.com/microsoft/recommenders,122,8,2100,Azure
pulumi,pulumi,11400,https://github.com/pulumi/pulumi,1300,68,620,Azure
Azure,azure-quickstart-templates,11400,https://github.com/Azure/azure-quickstart-templates,837,26,14100,Azure
mozilla,sops,9100,https://github.com/mozilla/sops,247,64,549,Azure
microsoft,computervision-recipes,8300,https://github.com/microsoft/computervision-recipes,55,7,100,Azure
google,go-cloud,8200,https://github.com/google/go-cloud,20,4,706,Azure
caprover,caprover,8200,https://github.com/caprover/caprover,54,2,549,Azure
microsoft,azuredatastudio,6700,https://github.com/microsoft/azuredatastudio,1900,30,745,Azure
node-formidable,formidable,6100,https://github.com/node-formidable/formidable,21,26,660,Azure
infracost,infracost,5300,https://github.com/infracost/infracost,69,10,244,Azure
midwayjs,midway,5300,https://github.com/midwayjs/midway,117,7,339,Azure
thangchung,clean-code-dotnet,4600,https://github.com/thangchung/clean-code-dotnet,13,24,745,Azure
budtmo,docker-android,4200,https://github.com/budtmo/docker-android,80,2,742,Azure
cloud-custodian,cloud-custodian,400,https://github.com/cloud-custodian/cloud-custodian,1000,153,1100,Azure
nccgroup,ScoutSuite,3900,https://github.com/nccgroup/ScoutSuite,112,28,597,Azure
aquasecurity,tfsec,3900,https://github.com/aquasecurity/tfsec,27,2,336,Azure
bridgecrewio,checkov,3800,https://github.com/bridgecrewio/checkov,166,16,557,Azure
Azure,autorest,3700,https://github.com/Azure/autorest,75,11,684,Azure
simov,grant,3600,https://github.com/simov/grant,17,1,238,Azure
Azure,azure-sdk-for-net,3300,https://github.com/Azure/azure-sdk-for-net,1500,99,3200,Azure
microsoft,SynapseML,3100,https://github.com/microsoft/SynapseML,202,39,653,Azure
hashicorp,terraform-provider-azurerm,3100,https://github.com/hashicorp/terraform-provider-azurerm,1500,89,3100,Azure
Azure,azure-powershell,2900,https://github.com/Azure/azure-powershell,895,89,2900,Azure
Azure,azure-cli,2900,https://github.com/Azure/azure-cli,2600,125,200,Azure
Azure,MachineLearningNotebooks,2900,https://github.com/Azure/MachineLearningNotebooks,207,28,2100,Azure
mlabouardy,komiser,2700,https://github.com/mlabouardy/komiser,18,0,215,Azure
APIs-guru,openapi-directory,2700,https://github.com/APIs-guru/openapi-directory,124,1,472,Azure
learntocloud,learn-to-cloud,2400,https://github.com/learntocloud/learn-to-cloud,0,0,346,Azure
babel,babel,40400,https://github.com/babel/babel,632,150,5200,Babel
nylas,nylas-mail,24600,https://github.com/nylas/nylas-mail,986,29,1500,Babel
kriasoft,react-starter-kit,21100,https://github.com/kriasoft/react-starter-kit,5,2,4100,Babel
swc-project,swc,20400,https://github.com/swc-project/swc,230,22,619,Babel
avajs,ava,19600,https://github.com/avajs/ava,76,5,1400,Babel
electron-react-boilerplate,electron-react-boilerplate,1900,https://github.com/electron-react-boilerplate/electron-react-boilerplate,29,3,3200,Babel
SimulatedGREG,electron-vue,14700,https://github.com/SimulatedGREG/electron-vue,257,17,1500,Babel
grab,front-end-guide,14200,https://github.com/grab/front-end-guide,2,18,1100,Babel
jamiebuilds,babel-handbook,10700,https://github.com/jamiebuilds/babel-handbook,NA,90,1600,Babel
grommet,grommet,7800,https://github.com/grommet/grommet,157,25,935,Babel
developit,htm,7400,https://github.com/developit/htm,24,4,152,Babel
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack,240,16,1300,Babel
documentationjs,documentation,5500,https://github.com/documentationjs/documentation,184,15,482,Babel
insin,nwb,5400,https://github.com/insin/nwb,149,17,363,Babel
ben-rogerson,twin.macro,5400,https://github.com/ben-rogerson/twin.macro,14,4,129,Babel
egoist,poi,5300,https://github.com/egoist/poi,20,34,291,Babel
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs,128,0,643,Babel
